year,month,date,dead_people,injury_people,total_casualties,fatality_rate,accident_rate,fatalities_pct_change,injuries_pct_change,total_casualties_lag_1,accident_rate_lag_1,total_casualties_lag_2,accident_rate_lag_2,total_casualties_lag_3,accident_rate_lag_3,casualties_rolling_mean_3,fatalities_rolling_mean_3,accident_rate_rolling_mean_3
2023,3,2023-03-01,262,15867,16129,1.6244032488064977,107.85021731862254,1.158301158301156,7.770155538952661,14982.0,100.18054162487462,15212.0,101.71848879973253,15302.0,102.32029421598128,15441.0,258.3333333333333,103.24974924774322
2023,4,2023-04-01,275,14702,14977,1.836148761434199,100.14710799063857,4.961832061068705,-7.342282725152838,16129.0,107.85021731862254,14982.0,100.18054162487462,15212.0,101.71848879973253,15362.666666666666,265.3333333333333,102.72595564471192
2023,5,2023-05-01,228,14833,15061,1.5138437022774054,100.70879304580407,-17.09090909090909,0.8910352333015847,14977.0,100.14710799063857,16129.0,107.85021731862254,14982.0,100.18054162487462,15389.0,255.0,102.9020394516884
2023,6,2023-06-01,222,15111,15333,1.4478575621209158,102.52758274824474,-2.631578947368418,1.8741994202116974,15061.0,100.70879304580407,14977.0,100.14710799063857,16129.0,107.85021731862254,15123.666666666666,241.66666666666666,101.12782792822914
2023,7,2023-07-01,251,15179,15430,1.626701231367466,103.17619525242394,13.063063063063062,0.4500033088478572,15333.0,102.52758274824474,15061.0,100.70879304580407,14977.0,100.14710799063857,15274.666666666666,233.66666666666666,102.13752368215758
2023,8,2023-08-01,193,14810,15003,1.2864093847897087,100.32096288866599,-23.10756972111554,-2.4309901838065695,15430.0,103.17619525242394,15333.0,102.52758274824474,15061.0,100.70879304580407,15255.333333333334,222.0,102.00824696311156
2023,9,2023-09-01,207,14530,14737,1.4046278075592047,98.54229354730859,7.253886010362698,-1.8906144496961486,15003.0,100.32096288866599,15430.0,103.17619525242394,15333.0,102.52758274824474,15056.666666666666,217.0,100.67981722946617
2023,10,2023-10-01,220,14802,15022,1.4645187058980162,100.44801069876294,6.2801932367149815,1.8719889883000773,14737.0,98.54229354730859,15003.0,100.32096288866599,15430.0,103.17619525242394,14920.666666666666,206.66666666666666,99.77042237824583
2023,11,2023-11-01,248,16043,16291,1.5223129335215764,108.93346706787028,12.72727272727272,8.384002161870008,15022.0,100.44801069876294,14737.0,98.54229354730859,15003.0,100.32096288866599,15350.0,225.0,102.64125710464727
2023,12,2023-12-01,274,17774,18048,1.5181737588652482,120.68204613841525,10.483870967741925,10.789752540048614,16291.0,108.93346706787028,15022.0,100.44801069876294,14737.0,98.54229354730859,16453.666666666668,247.33333333333334,110.02117463501615
