year,province,month,age_group,dead_people,injury_people
2021,Nakhon-Ratchasima,April,25-35,7,462
2021,Nakhon-Ratchasima,April,36-60,17,691
2021,Nakhon-Ratchasima,April,60++,5,222
2021,Nakhon-Ratchasima,May,1-14,1,191
2021,Nakhon-Ratchasima,May,15-18,1,215
2021,Nakhon-Ratchasima,May,19-24,2,281
2021,Nakhon-Ratchasima,May,25-35,3,332
2021,Nakhon-Ratchasima,May,36-60,11,624
2021,Nakhon-Ratchasima,May,60++,4,194
2021,Nakhon-Ratchasima,June,1-14,1,232
2021,Nakhon-Ratchasima,June,15-18,3,270
2021,Nakhon-Ratchasima,June,19-24,6,307
2021,Nakhon-Ratchasima,June,25-35,10,360
2021,Nakhon-Ratchasima,June,36-60,6,686
2021,Nakhon-Ratchasima,June,60++,6,200
2021,Nakhon-Ratchasima,July,1-14,1,159
2021,Nakhon-Ratchasima,July,15-18,1,184
2021,Nakhon-Ratchasima,July,19-24,0,258
2021,Nakhon-Ratchasima,July,25-35,7,343
2021,Nakhon-Ratchasima,July,36-60,10,519
2021,Nakhon-Ratchasima,July,60++,1,154
2021,Nakhon-Ratchasima,August,1-14,0,121
2021,Nakhon-Ratchasima,August,15-18,2,142
2021,Nakhon-Ratchasima,August,19-24,5,221
2021,Nakhon-Ratchasima,August,25-35,4,321
2021,Nakhon-Ratchasima,August,36-60,6,502
2021,Nakhon-Ratchasima,August,60++,4,116
2021,Nakhon-Ratchasima,September,1-14,1,110
2021,Nakhon-Ratchasima,September,15-18,0,160
2021,Nakhon-Ratchasima,September,19-24,6,251
2021,Nakhon-Ratchasima,September,25-35,5,327
2021,Nakhon-Ratchasima,September,36-60,8,518
2021,Nakhon-Ratchasima,September,60++,3,168
2021,Nakhon-Ratchasima,October,1-14,2,155
2021,Nakhon-Ratchasima,October,15-18,2,175
2021,Nakhon-Ratchasima,October,19-24,6,270
2021,Nakhon-Ratchasima,October,25-35,9,384
2021,Nakhon-Ratchasima,October,36-60,17,571
2021,Nakhon-Ratchasima,October,60++,5,208
2021,Nakhon-Ratchasima,November,1-14,1,204
2021,Nakhon-Ratchasima,November,15-18,7,289
2021,Nakhon-Ratchasima,November,19-24,4,346
2021,Nakhon-Ratchasima,November,25-35,4,447
2021,Nakhon-Ratchasima,November,36-60,30,815
2021,Nakhon-Ratchasima,November,60++,10,260
2021,Nakhon-Ratchasima,December,1-14,1,232
2021,Nakhon-Ratchasima,December,15-18,5,347
2021,Nakhon-Ratchasima,December,19-24,7,436
2021,Nakhon-Ratchasima,December,25-35,10,588
2021,Nakhon-Ratchasima,December,36-60,22,880
2021,Nakhon-Ratchasima,December,60++,2,242
2021,Surat-Thani,January,1-14,0,107
2021,Surat-Thani,January,15-18,1,119
2021,Surat-Thani,January,19-24,2,125
2021,Surat-Thani,January,25-35,8,185
2021,Surat-Thani,January,36-60,12,318
2021,Surat-Thani,January,60++,3,86
2021,Surat-Thani,February,1-14,0,115
2021,Surat-Thani,February,15-18,3,148
2021,Surat-Thani,February,19-24,3,180
2021,Surat-Thani,February,25-35,6,202
2021,Surat-Thani,February,36-60,6,313
2021,Surat-Thani,February,60++,1,86
2021,Surat-Thani,March,1-14,1,144
2021,Surat-Thani,March,15-18,5,241
2021,Surat-Thani,March,19-24,1,222
2021,Surat-Thani,March,25-35,10,314
2021,Surat-Thani,March,36-60,7,447
2021,Surat-Thani,March,60++,8,119
2021,Surat-Thani,April,1-14,2,96
2021,Surat-Thani,April,15-18,4,97
2021,Surat-Thani,April,19-24,1,111
2021,Surat-Thani,April,25-35,2,194
2021,Surat-Thani,April,36-60,11,333
2021,Surat-Thani,April,60++,1,76
2021,Surat-Thani,May,1-14,0,50
2021,Surat-Thani,May,15-18,1,65
2021,Surat-Thani,May,19-24,1,105
2021,Surat-Thani,May,25-35,3,149
2021,Surat-Thani,May,36-60,9,245
2021,Surat-Thani,May,60++,0,68
2021,Surat-Thani,June,1-14,3,82
2021,Surat-Thani,June,15-18,1,93
2021,Surat-Thani,June,19-24,2,138
2021,Surat-Thani,June,25-35,7,183
2021,Surat-Thani,June,36-60,6,309
2021,Surat-Thani,June,60++,3,70
2021,Surat-Thani,July,1-14,0,67
2021,Surat-Thani,July,15-18,0,94
2021,Surat-Thani,July,19-24,1,118
2021,Surat-Thani,July,25-35,3,182
2021,Surat-Thani,July,36-60,3,265
2021,Surat-Thani,July,60++,3,80
2021,Surat-Thani,August,1-14,0,72
2021,Surat-Thani,August,15-18,1,77
2021,Surat-Thani,August,19-24,3,134
2021,Surat-Thani,August,25-35,6,189
2021,Surat-Thani,August,36-60,8,282
2021,Surat-Thani,August,60++,2,62
2021,Surat-Thani,September,1-14,0,68
2021,Surat-Thani,September,15-18,1,70
2021,Surat-Thani,September,19-24,2,131
2021,Surat-Thani,September,25-35,8,189
2021,Surat-Thani,September,36-60,6,256
2021,Surat-Thani,September,60++,3,80
2021,Surat-Thani,October,1-14,0,77
2021,Surat-Thani,October,15-18,2,106
2021,Surat-Thani,October,19-24,1,123
2021,Surat-Thani,October,25-35,1,154
2021,Surat-Thani,October,36-60,9,263
2021,Surat-Thani,October,60++,1,80
2021,Surat-Thani,November,1-14,1,73
2021,Surat-Thani,November,15-18,1,85
2021,Surat-Thani,November,19-24,3,103
2021,Surat-Thani,November,25-35,1,178
2021,Surat-Thani,November,36-60,6,249
2021,Surat-Thani,November,60++,4,56
2021,Surat-Thani,December,1-14,0,111
2021,Surat-Thani,December,15-18,3,134
2021,Surat-Thani,December,19-24,3,137
2021,Surat-Thani,December,25-35,1,271
2021,Surat-Thani,December,36-60,5,384
2021,Surat-Thani,December,60++,2,91
2021,Chiang-Mai,January,1-14,0,108
2021,Chiang-Mai,January,15-18,1,177
2021,Chiang-Mai,January,19-24,9,375
2021,Chiang-Mai,January,25-35,10,518
2021,Chiang-Mai,January,36-60,11,735
2021,Chiang-Mai,January,60++,5,220
2021,Chiang-Mai,February,1-14,2,124
2021,Chiang-Mai,February,15-18,1,253
2021,Chiang-Mai,February,19-24,7,477
2021,Chiang-Mai,February,25-35,6,492
2021,Chiang-Mai,February,36-60,14,660
2021,Chiang-Mai,February,60++,3,224
2021,Chiang-Mai,March,1-14,1,155
2021,Chiang-Mai,March,15-18,1,306
2021,Chiang-Mai,March,19-24,7,549
2021,Chiang-Mai,March,25-35,9,678
2021,Chiang-Mai,March,36-60,14,802
2021,Chiang-Mai,March,60++,6,270
2021,Chiang-Mai,April,1-14,1,82
2021,Chiang-Mai,April,15-18,4,169
2021,Chiang-Mai,April,19-24,1,299
2021,Chiang-Mai,April,25-35,9,392
2021,Chiang-Mai,April,36-60,7,595
2021,Chiang-Mai,April,60++,7,193
2021,Chiang-Mai,May,1-14,1,75
2021,Chiang-Mai,May,15-18,0,136
2021,Chiang-Mai,May,19-24,3,238
2021,Chiang-Mai,May,25-35,1,372
2021,Chiang-Mai,May,36-60,8,510
2021,Chiang-Mai,May,60++,9,191
2021,Chiang-Mai,June,1-14,2,71
2021,Chiang-Mai,June,15-18,1,158
2021,Chiang-Mai,June,19-24,4,286
2021,Chiang-Mai,June,25-35,3,388
2021,Chiang-Mai,June,36-60,8,539
2021,Chiang-Mai,June,60++,6,199
2021,Chiang-Mai,July,1-14,5,67
2021,Chiang-Mai,July,15-18,1,123
2021,Chiang-Mai,July,19-24,4,236
2021,Chiang-Mai,July,25-35,6,356
2021,Chiang-Mai,July,36-60,4,501
2021,Chiang-Mai,July,60++,4,147
2021,Chiang-Mai,August,1-14,2,70
2021,Chiang-Mai,August,15-18,2,129
2021,Chiang-Mai,August,19-24,3,291
2021,Chiang-Mai,August,25-35,9,380
2021,Chiang-Mai,August,36-60,10,529
2021,Chiang-Mai,August,60++,4,174
2021,Chiang-Mai,September,1-14,0,51
2021,Chiang-Mai,September,15-18,1,128
2021,Chiang-Mai,September,19-24,1,255
2021,Chiang-Mai,September,25-35,8,359
2021,Chiang-Mai,September,36-60,12,475
2021,Chiang-Mai,September,60++,9,165
2021,Chiang-Mai,October,1-14,0,77
2021,Chiang-Mai,October,15-18,2,148
2021,Chiang-Mai,October,19-24,2,280
2021,Chiang-Mai,October,25-35,10,405
2021,Chiang-Mai,October,36-60,4,516
2021,Chiang-Mai,October,60++,5,174
2021,Chiang-Mai,November,1-14,0,95
2021,Chiang-Mai,November,15-18,1,175
2021,Chiang-Mai,November,19-24,0,356
